         127.38100          42.25760
         129.59000          44.62000
         758.00000           0.11260          -0.10947
         759.00000          -0.03338           0.05217
         760.00000           0.09765           0.00406
         761.00000          -0.01175          -0.13158
         762.00000           0.05578           0.08928
         763.00000           0.31538           0.14416
         764.00000          -0.00780           0.04818
         765.00000          -0.13771           0.08557
         766.00000          -0.01726          -0.02432
         767.00000          -0.07929          -0.04811
         768.00000           0.13242          -0.05868
         769.00000           0.31649          -0.11278
         770.00000           0.04468           0.00224
         771.00000          -0.01621          -0.02436
         772.00000           0.23659          -0.24940
         773.00000           0.08929          -0.15274
         774.00000          -0.01334           0.12928
         775.00000           0.03124           0.06360
         776.00000           0.05937          -0.10712
         777.00000           0.19342          -0.00760
         778.00000          -0.09834           0.17393
         779.00000          -0.17332           0.08201
         780.00000           0.16289          -0.03353
         781.00000           0.08959           0.05965
         782.00000          -0.03839           0.23183
         783.00000           0.03563           0.29718
         784.00000          -0.00910           0.13152
         785.00000          -0.06745           0.05644
         786.00000          -0.09631           0.09725
         787.00000          -0.16887           0.11355
         788.00000          -0.14134          -0.06366
         789.00000          -0.15739          -0.23962
         790.00000          -0.15574          -0.08166
         791.00000          -0.05672          -0.08456
         792.00000          -0.06624          -0.13568
         793.00000          -0.00105          -0.10840
         794.00000           0.06334          -0.28386
         795.00000           0.01800          -0.11580
         796.00000           0.16119           0.03560
         797.00000           0.11678          -0.21874
         798.00000          -0.04417           0.04983
         799.00000           0.19278           0.22314
         800.00000           0.09754          -0.00154
         801.00000          -0.23313           0.18806
         802.00000          -0.19028           0.18197
         803.00000          -0.25451           0.06473
         804.00000          -0.39630           0.08561
         805.00000          -0.20998          -0.05169
         806.00000           0.16484          -0.09200
         807.00000           0.24391          -0.12930
         808.00000           0.10018          -0.12223
         809.00000           0.08631           0.05072
         810.00000           0.12370           0.15254
         811.00000           0.02195          -0.00585
         812.00000          -0.04582          -0.10102
         813.00000           0.15814           0.15165
         814.00000           0.07224           0.15774
         815.00000           0.01566          -0.07705
         816.00000           0.43136           0.04841
         817.00000           0.33017           0.17709
